file_id,method,template,decision,reason,source,po,nif,iban,date,base,iva,total,wrong_fields,notes
2026-03-10_P007.pdf,embedded_text,narrative,PAGAR,all_rules_pass,challenge/facturas/2026-03-10_P007.pdf,PO-2026-0072,J40112358,ES5531590012348765123407,2026-03-10,8266.63,1735.99,10002.62,none,
2026-03-11_P003.pdf,embedded_text,narrative,PAGAR,all_rules_pass,challenge/facturas/2026-03-11_P003.pdf,PO-2026-0171,B30455812,ES6001825322180201588391,2026-03-11,8785.01,1844.85,10629.86,none,
2026-01-14_P002.pdf,embedded_text,ref_uppercase,PAGAR,all_rules_pass,challenge/facturas/2026-01-14_P002.pdf,PO-2026-0144,A41220987,ES7621000813610123456789,2026-01-14,2452.27,514.98,2967.25,none,
2026-01-17_P011.pdf,embedded_text,ref_uppercase,PAGAR,all_rules_pass,challenge/facturas/2026-01-17_P011.pdf,PO-2026-0184,B90233808,ES9368884400123588900142,2026-01-17,865.71,181.80,1047.51,none,
2026-01-26_P010.pdf,embedded_text,ref_uppercase,PAGAR,all_rules_pass,challenge/facturas/2026-01-26_P010.pdf,PO-2026-0211,B98455101,ES2702390806667122334455,2026-01-26,769.14,161.52,930.66,none,
2026-01-28_P008.pdf,embedded_text,ref_uppercase,PAGAR,all_rules_pass,challenge/facturas/2026-01-28_P008.pdf,PO-2026-0139,B91455230,ES0900730100510505331902,2026-01-28,6548.40,1375.16,7923.56,none,
2026-02-05_P004.pdf,embedded_text,ref_uppercase,PAGAR,all_rules_pass,challenge/facturas/2026-02-05_P004.pdf,PO-2026-0210,B98120774,ES4414650100951704302211,2026-02-05,8027.92,1685.86,9713.78,none,
2026-01-24_P009.pdf,embedded_text,simplified,PAGAR,all_rules_pass,challenge/facturas/2026-01-24_P009.pdf,PO-2026-0220,A46311208,ES8201280011230100044571,2026-01-24,2301.34,483.28,2784.62,none,
2026-01-31_P008.pdf,embedded_text,simplified,PAGAR,all_rules_pass,challenge/facturas/2026-01-31_P008.pdf,PO-2026-0364,B91455230,ES0900730100510505331902,2026-01-31,898.11,188.60,1086.71,none,
2026-02-25_P003.pdf,embedded_text,simplified,PAGAR,all_rules_pass,challenge/facturas/2026-02-25_P003.pdf,PO-2026-0090,B30455812,ES6001825322180201588391,2026-02-25,5077.99,1066.38,6144.37,none,
2026-03-16_P002.pdf,embedded_text,simplified,PAGAR,all_rules_pass,challenge/facturas/2026-03-16_P002.pdf,PO-2026-0064,A41220987,ES7621000813610123456789,2026-03-16,6248.53,1312.19,7560.72,none,
2026-03-17_P005.pdf,embedded_text,simplified,PAGAR,all_rules_pass,challenge/facturas/2026-03-17_P005.pdf,PO-2026-0397,B96233419,ES1800815290070001234567,2026-03-17,3791.36,796.19,4587.55,none,
2026-01-08_P001.pdf,embedded_text,standard,PAGAR,all_rules_pass,challenge/facturas/2026-01-08_P001.pdf,PO-2026-0096,B46102331,ES2100491500051234567890,2026-01-08,2489.99,522.90,3012.89,none,
2026-01-11_P007.pdf,embedded_text,standard,PAGAR,all_rules_pass,challenge/facturas/2026-01-11_P007.pdf,PO-2026-0167,J40112358,ES5531590012348765123407,2026-01-11,6574.59,1380.66,7955.25,none,
2026-01-12_P002.pdf,embedded_text,standard,PAGAR,all_rules_pass,challenge/facturas/2026-01-12_P002.pdf,PO-2026-0061,A41220987,ES7621000813610123456789,2026-01-12,710.25,149.15,859.40,none,
2026-01-12_P010.pdf,embedded_text,standard,PAGAR,all_rules_pass,challenge/facturas/2026-01-12_P010.pdf,PO-2026-0042,B98455101,ES2702390806667122334455,2026-01-12,5918.33,1242.85,7161.18,none,
2026-01-18_P005.pdf,embedded_text,standard,PAGAR,all_rules_pass,challenge/facturas/2026-01-18_P005.pdf,PO-2026-0161,B96233419,ES1800815290070001234567,2026-01-18,2336.12,490.59,2826.71,none,
copia_2026_0518.pdf,vision_cache,-,ESCALAR,iban_mismatch,outputs/label_imgs/copia_2026_0518.pdf.png,PO-2026-0721,B30455812,ES6004825322180201588391,2026-05-18,760.00,159.60,919.60,iban,"IBAN under scan-noise band, unconfirmable; extracted differs from master by one digit"
fax_2026_0411.pdf,vision_cache,-,ESCALAR,supplier_not_in_master,outputs/label_imgs/fax_2026_0411.pdf.png,PO-2020-0718,B96120278,ES4401823100081703402211,2028-04-11,920.00,193.20,1113.20,"nif,iban,date,po",heavy fax distortion; base/iva/total correct; decision still correct (supplier not in master)
reimpresion_0712.pdf,vision_cache,-,ESCALAR,iban_mismatch,outputs/label_imgs/reimpresion_0712.pdf.png,PO-2026-0725,B98455101,ES4721007788103000445566,2026-07-12,1880.00,394.80,2274.80,none,
scan_001.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_001.pdf.png,PO-2026-0477,B98120774,ES4414650100951704302211,2026-03-08,1025.49,215.35,1240.84,none,
scan_002.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_002.pdf.png,PO-2026-0478,B98120774,ES4414650100951704302211,2026-07-23,1292.88,271.50,1564.38,none,
scan_003.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_003.pdf.png,PO-2026-0479,B98120774,ES4414650100951704302211,2026-07-17,379.61,79.72,459.33,none,
scan_004.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_004.pdf.png,PO-2026-0480,B90233808,ES9368884400123588900142,2026-07-05,433.87,91.11,524.98,none,
scan_005.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_005.pdf.png,PO-2026-0481,B90233808,ES9368884400123588900142,2026-02-02,938.18,197.02,1135.20,none,
scan_006.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_006.pdf.png,PO-2026-0482,B98120774,ES4414650100951704302211,2026-03-03,1178.84,247.56,1426.40,none,
scan_007.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_007.pdf.png,PO-2026-0483,B98120774,ES4414650100951704302211,2026-04-21,1533.53,322.04,1855.57,none,
scan_008.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_008.pdf.png,PO-2026-0484,B90233808,ES9368884400123588900142,2026-05-29,1698.74,356.74,2055.48,none,
scan_009.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_009.pdf.png,PO-2026-0485,B90233808,ES9368884400123588900142,2026-03-08,834.24,175.19,1009.43,none,
scan_010.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_010.pdf.png,PO-2026-0486,B90233808,ES9368884400123588900142,2026-02-28,221.55,46.53,268.08,none,
scan_011.pdf,vision_cache,-,ESCALAR,iban_mismatch,outputs/label_imgs/scan_011.pdf.png,PO-2026-0487,B90233808,ES8368884400123588900142,2026-01-13,1255.20,263.59,1518.79,iban,"vision misread IBAN ES93->ES83; real IBAN matches master, so true outcome is PAGAR (false ESCALAR, safe direction)"
scan_012.pdf,vision_cache,-,PAGAR,all_rules_pass,outputs/label_imgs/scan_012.pdf.png,PO-2026-0488,B98120774,ES4414650100951704302211,2026-05-06,725.31,152.32,877.63,none,
